Opportunity Id,Account,Opp Name,Account Owner,Old Use_case__c,Proposed Use_case__c (Claude),Confidence,Needs Review,Rationale,Final Use Case Type (human),Litmus Test,Evidence,Tier,EAR,Revised Use Case Type (Pass 2),Pass 2 Notes
006UY00000WRbqfYAD,OpenAI,OpenAI - Pulse,Collin Cook,Workflows,AI - Agents,High,FALSE,ChatGPT Pulse autonomously decides each day's research from a user's chats/memory/connected apps and runs multi-step ...,,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details URL openai.com/index/introducing-chatgpt-pulse; OpenAI: ""agentic over...",1,420000,,

006UY00000C6ZfKYAV,Abridge,Abrigde - Entity Domain,Collin Cook,Business processes,AI - Processing Pipelines,High,FALSE,"Fixed pipeline running clinical audio through AI models: transcript, medical-word highlighting, note generation. Cano...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","details ""automate clinical notes... Transcript, medical word highlighting, th...",1,409992,,

006UY00000MJ2O1YAL,HeyGen Inc,HeyGen - Video Gen Workload,Vickie Ma,AI/ML Orchestration,AI - Processing Pipelines,High,FALSE,Video generation running data through AI models; the core revenue-driving workload.,,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","details ""Video Gen runs on Temporal, core business revenue driver""",1,395916,,

006UY000008sAXLYA2,LayerZero Labs,Layer Zero Labs - Initial Workload,Jesse Malik,Business processes,Data Pipelines & ETL,High,FALSE,"""Messages use case"" = reliable cross-chain message delivery between blockchains; moving data between systems. Matches...",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details ""Messages use case""; LayerZero = omnichain messaging protocol",1,372000,,

006UY00000NHT1yYAH,LayerZero Labs,LayerZero Labs - Cross-chain messaging & transaction orchestration,Jesse Malik,Workflows,Data Pipelines & ETL,Medium,TRUE,Reliable cross-chain message delivery + transaction coordination across 150+ chains (Relayer/Scan); asset-bridging (S...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details ""Cross-chain messaging and transaction orchestration... Relayer (mess...",1,355200,,LayerZero = cross-chain crypto infra (6 namespaces). Core = reliable cross-chain message deliv…

0065f000009ymhxAAA,Qualtrics,Qualtrics: xFlow use case,Micah Manzano,Workflows,Other,Medium,TRUE,"xFlow = a generic workflow-automation product built on Temporal; ""ad tech"" is the customer's industry, not a ...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""Qualtrics xFlow is an ad tech workflow automation product built on t...",3,320004,,Experience-mgmt (XM) platform; xFlow = a generic ad-tech workflow-automation product built on …

006UY00000CP4G1YAL,Vendasta,Vendasta- AI Chatbot-Workload,Xander Stephens,AI/ML Orchestration,AI - Processing Pipelines,Medium,TRUE,AI chatbot inside a Zapier-like if-this-then-that automation flow running conversations/voice through AI models; the ...,,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Drive doc ""Vendasta - LLM - Summary"": ""zapier-like if-this-then-that workflow...",2,312000,,Digital-agency SaaS. New AI chatbot product; Drive doc: zapier-like if-this-then-that with AI …

006UY00000V7qHlYAJ,Substack,Substack - Video Workflows,Dhruv Shankar,Workflows,Other,High,FALSE,"Deterministic media post-processing (extract audio, generate/render clips); transcription is a minor step, not the pr...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""post-processing... generating clips, extracting audio, creating tran...",1,300000,,

006UY00000CPORdYAP,Airwallex Limited,Airwallex - Combined (Workload),Michael Mah,Workflows,Other,Low,TRUE,"Multi-workload ""Combined"" opp; fields give no signal; docs + Gong show several distinct workloads plus a heavy Tempor...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""workflow""; Gong ""Airwallex - Migration of Temporal Workflows"" (2023-...",3,300000,,"Airwallex=fintech. 'Combined' multi-workload opp, fields say only 'workflow'; docs blocked/Gon…"

006UY00000ZsomtYAB,Vega Security,Vega Security - Federated Search Workflow,Adam Stufflebeam,Other,Other,Medium,TRUE,"Generic service-orchestration building block: accepts a query, enqueues, polls, streams results back; nearly every other workflow triggers it. Web confirms Vega is a federated security-analytics/search platform. It's the product's core query-orchestration primitive, not data sync/ETL nor LLM-driven planning. Genuine catch-all.",,Doesn't cleanly fit any above; needs a free-text description.,"Use_Case_Details: 'Accepts a query, enqueues it to a backend processing system, polls for results, streams pages back... every other workflow triggers this one.' Web: Vega = federated security analytics/search.",3,300000,,

006UY00000ExCOTYA3,Slash Financial,Slash Financial - Debit Card Processing (Long Running Workflows),Vickie Ma,Business Transactions,Payment Processing & Settlement,High,FALSE,Each card swipe triggers a workflow that processes the payment/repayment and records the transaction — money moves co...,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","details ""when someone uses a credit card, Temporal... processing the payment ...",1,255540,,

006UY00000NEs6ZYAT,FireHydrant,FireHydrant - runbooks engine and signals product,Collin Cook,Workflows,Infrastructure Automation & CI/CD,High,FALSE,"Operating FireHydrant's incident-response automation engine (runbooks, timers, rule evaluations) — operating software...",,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?","details ""automation for incident response... Runbooks = automation engine""; d...",2,243129,,

006UY00000IyfcDYAR,MasOrange,MasOrange - Cadence Platform Migration,Mael Ropars,Business processes,Other,Low,TRUE,"Cadence-to-Temporal platform-consolidation/migration spanning 15+ unrelated domains (customer care, activation, payme...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""15 business use cases around customer care, line activation, payment...",2,241680,,"Spanish telco; explicit Cadence->Temporal platform migration spanning 15+ domains (care, activ…"

006UY00000Ddn6DYAR,Yubi (Credavenue Private Limited),Yubi (Spocto)- Campaigns-workload,Ayush Asthana,Operational Process,Communications & Marketing Platform,Medium,TRUE,"Spocto debt-collection ""campaigns"" — customer-driven, business-hours-timed outreach campaigns; Spocto being debt coll...",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","details ""Spocto campaigns; customer initiates a payout event""; doc ""Customer ...",2,240000,,"Yubi=debt-lifecycle fintech; Spocto=debt collection. 'Campaigns' (timed, business-hours outrea…"

006UY00000EWM3XYAX,OpenAI,OpenAI - Automations,Collin Cook,Business processes,AI - Agents,Medium,TRUE,ChatGPT Tasks/Automations = an LLM executes a user's prompt/action on a schedule (acts on the user's behalf); thin op...,,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details ""Scheduled tasks""; name ""OpenAI - Automations""",1,240000,,OpenAI ChatGPT Tasks/Automations = LLM runs user actions on a schedule. AI-Agents vs generic-s…

0065f00000PX1rbAAD,Aura,Aura - full workload,Justin Reid,Business processes,Other,Medium,TRUE,"Dynamic repricing tool for Amazon sellers; the primary outcome is setting prices, not managing physical inventory (In...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""Repricing Tool for Amazon sellers""",1,222000,,"Aura = online safety/identity-protection consumer app, but this opp's own field is clear: a dy…"

006UY000009KCkbYAG,Retool Inc.,Retool- OSS Migration- Workload,Nikolas Filardo,Business processes,Control Plane Operations,Low,TRUE,Retool runs a multi-tenant Workflows product that self-service provisions a Temporal namespace per downstream custome...,,Are they building/operating a platform control plane that provisions/manages other systems/tenants via APIs and policy?,"Doc ""Retool- Meeting Notes"": ""Workflows Product... 1 NS per customer environm...",2,216000,,Retool = low-code internal-tools platform; its Workflows product provisions 1 NS/customer (con…

0065f00000Ir5DeAAJ,Remitly,Remitly - RTE,Conrad Vogel,Business Transactions,Payment Processing & Settlement,High,FALSE,RTE = Remittance Transaction Engineering; each financial transaction is a 20-activity Temporal workflow ensuring mone...,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","Doc ""Remitly RTE - Use Case Discovery Guide"": ""each transaction is a Temporal...",2,216000,,

006UY000008TC4QYAW,Xapien,Xapien - Due Diligence Check,Nate Blumenthal,Business processes,AI - Processing Pipelines,High,FALSE,"Doc + opp: a fixed multi-stage pipeline that runs collected documents through NLP/GenAI processing, context extractio...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Doc ""Xapien Use Case"": ""process thousands of documents... NLP, GenAI processi...",2,216000,,

006UY00000WTCoBYAX,OpenAI,OpenAI - Document Scanning,Collin Cook,Business processes,AI - Processing Pipelines,Medium,TRUE,"Opp fields (""document scanning""/""document processing"") = running documents through models (OCR/extraction/classificat...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Name ""OpenAI - Document Scanning"" + details ""document processing""",1,204000,,OpenAI; 'document scanning/processing' = running docs through models (OCR/extract/classify) = …

0065f00000NHCFlAAP,Airbnb,Airbnb - MarTech - Voyager List-Triggered Notifications,Collin Cook,SMS & Emails,Communications & Marketing Platform,High,FALSE,"Scheduling engine for batch external comms (SMS/email/push), 40M/day; opp name = MarTech.",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","details ""Scheduling engine for batch external communications ... SMS, email, ...",1,204000,,

006UY00000WBn7pYAD,Adobe,Adobe - AEM Digital Asset Management Use Case,Tom Kadlick,Other,Other,Low,TRUE,"Media encoding/up-conversion pipeline for AEM digital assets via serverless functions. Not AI model inference (transcoding, not ML), so AI - Processing Pipelines is a stretch; not system-to-system data sync, so not Data Pipelines & ETL. Product media-transformation workflow with no clean litmus match.",,Doesn't cleanly fit any above; needs a free-text description.,Use_Case_Details: 'Digital Assets Media pipeline (Media Encoding) for AEM... up converting media content... orchestration of serverless functions on OpenWhisk.' Other_Detail: 'Media Encoding'.,1,180000,,

006UY00000JbVhpYAF,Twilio,Twilio Messaging Workload,Collin Cook,SMS & Emails,Communications & Marketing Platform,High,FALSE,"Doc: a multi-channel sending API orchestrating outbound delivery (SMS/RCS/WhatsApp/email) with channel selection, fal...",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","Doc ""Twilio - Messaging Use Case Template"": ""multi-channel sending API... fal...",2,173532,,

006UY00000P8B7yYAF,Perplexity,Perplexity - Comet Browser Loop Use Case,Alexia Smith,AI/ML Orchestration,AI - Agents,High,FALSE,Comet Browser takes control of the browser and acts in a loop — an LLM deciding the next browser action across steps.,,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details ""Comet Browser... take control of the browser and do this in a loop""",1,159999.96,,

0065f00000ISJAGAA5,Snap,Snap - Spotlight & Saved Stories,Conrad Vogel,Business processes,Other,Medium,TRUE,"Spotlight doc: 'ad publishing' - advertisers publish content to Snap, stored/analyzed for ad e…",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","Doc ""Snap - Spotlight"": Use Case ""Business process - ad publishing""",2,151680,,

006UY00000C6FblYAF,Maven AGI,Maven AGI - Asyc Data Processing,Dhruv Shankar,Business processes,Data Pipelines & ETL,High,FALSE,"Named workload = async data processing (scraping, indexing, batch); moving/transforming data between systems. AI-insi...",,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details ""orchestrate asynchronous data processing... data scraping, indexing,...",1,150000,,

006UY00000QwsU6YAJ,Magical,Magical - Agents Use Case,Dhruv Shankar,AI/ML Orchestration,AI - Agents,High,FALSE,"An ""agentic product"" where LLM-driven agents automate multi-step customer tasks (managing patient lists, filling forms).",,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details ""'agentic product' that uses these agents to automate customer tasks....",1,144000,,

006UY00000HCtv0YAD,Deutsche Telekom,Deutsche Telekom - Carbonara Orchestration Mass Market,Mael Ropars,Business processes,Other,Medium,TRUE,"Doc: Carbonara = unified billing/invoicing orchestration (normalize invoices from acquired companies, format/validate...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"Doc ""DeutscheTelekom_Carbonara"": ""unified billing system to handle invoices.....",2,130780.8,,

006UY00000PhpVYYAZ,Booking.com,Booking.com - Self Service - Arrival Time,Mael Ropars,Business processes,Order Management & Fulfillment,Medium,TRUE,"Customers add/manage options on an existing trip/booking (e.g., arrival time) — amending the order/booking. ""Self ser...",,Is the primary outcome that an order gets completed correctly (placed → processed → fulfilled → delivered/returned)?,"details ""Self Service features... to add/manage options related to an existin...",1,120960,,Travel booking platform. Opp = self-service to add/manage options on an existing trip/booking …

006UY000002o78QYAQ,Intuit,Intuit - Payments,Collin Cook,Business processes,Payment Processing & Settlement,High,FALSE,"Doc: next-gen payments platform consolidating payment processing across Intuit (500M txns/day, ""dropped payments""). P...",,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","Doc ""Intuit_Payments"": ""Next gen payments platform... 500M transactions per d...",2,120000,,

006UY00000CMYNXYA5,Stripe,Stripe - Account Status Notification,Conrad Vogel,SMS & Emails,Communications & Marketing Platform,High,FALSE,"Orchestrating outbound customer notifications about account status; old value ""SMS & Emails"" aligns; Comms is the onl...",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","details ""Notification for Stripe's customers regarding their account status""",1,120000,,

006UY00000NmiO6YAJ,Cloudinary,Cloudinary - media processing workflow,Jesse Malik,Workflows,Other,Medium,TRUE,"Named workload = media transcoding/variant generation (1 video → 10 variants); no AI inference, not system-to-system ...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""media processing workflow that takes a single video and generates 10...",1,120000,,Cloudinary = media-management platform. Doc confirms named workload = multi-tenant media trans…

0065f00000JcmzOAAR,Indeed,Indeed - InterOp (ACDC/Marketplace),Collin Cook,Business processes,Data Pipelines & ETL,High,FALSE,Doc + opp: reliable ingestion/continual updating (incl. dedupe) of candidate data from Indeed into 3rd-party ATS (Wor...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","Doc ""Indeed ACDC_UseCase"": ""reliably ingests... candidate information... into...",2,118260,,

006UY000004NSR7YAO,Stripe,Stripe - issuing-xp,Conrad Vogel,(blank),Financial Services & Lending,Low,TRUE,"Opp fields empty; only signal is the name ""issuing"" = Stripe Issuing (card-issuing program, a regulated financial pro...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"no usable evidence (name token ""issuing"" only; empty fields; no doc; no Gong ...",3,107766,,Empty opp fields; name 'issuing' = Stripe Issuing (card-issuing). Web confirms product but typ…

0065f00000AwGcLAAV,Square,Square - CashApp Statements,Andrew Eidenshink,Distributed Transactions,Payment Processing & Settlement,Medium,TRUE,3 sub-workloads — Payment Scheduler + In-Store Checkouts (money movement) dominate; Monthly Statements is a minor dat...,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","details ""Payment Scheduler / Monthly Statements / In-Store Checkouts""",1,104226,,"CashApp fintech. Bundles 3 workloads (Payment Scheduler, Statements, In-Store Checkouts); paym…"

0065f00000IUmdqAAD,Twilio,Twilio Flex,Collin Cook,Business processes,Customer Service & Support,High,FALSE,"Doc separates Flex (contact center) from Twilio Engage (marketing); Flex orchestrates call routing, agent onl...",,"Is the primary outcome running support ops (ticket routing, escalation, SLA)?","Doc ""Twilio - Flex 2.0 Use Case"": Flex(contact center) vs Twilio Engage(marke...",2,103900.32,,

006UY000000maR0YAI,Vannevar Labs,Vannevar Labs-OSS Migration- workload,Nikolas Filardo,Business processes,Other,Low,TRUE,"OSS-to-Cloud migration of existing commercial workloads with no single product workflow named; doc confirms ""Migratio...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""Migrating commercial business from Self hosted...""; doc header ""USIN...",2,100395.24,,"Defense/security tech. Doc confirms OSS->Cloud migration of commercial workloads, no single pr…"

006UY00000EgwE1YAJ,Roblox,Roblox - Marketplace Refund,Tom Kadlick,Business processes,Payment Processing & Settlement,High,FALSE,Payment refund workflow for marketplace transactions — money movement (refunds).,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","details ""Economy team - payment refund workflow for marketplace transactions""",1,97200,,

006UY00000F7iWmYAJ,Dubclub,Dubclub - Push Notifications,Dhruv Shankar,SMS & Emails,Communications & Marketing Platform,Medium,TRUE,"Outbound push-notification delivery to users; old value ""SMS & Emails"" aligns. Thin but consistent (no doc).",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","details ""Push notifications to users""",1,96000,,Sports-betting community platform. Opp = outbound push notifications to users -> Comms & Marke…

006UY00000YoDWLYA3,Common Room,Common Room - Customer Facing Workflow Automation,Chris Essick,Other,Other,Medium,TRUE,"Generic configurable workflow-automation engine: customers build their own no-code automations (each runs as a Temporal workflow). Examples span Slack notify, CRM updates, alerts — multiple verticals, not one. Competing Communications & Marketing (notify/alert) but CRM/threshold examples exceed outbound comms. True catch-all.",,Doesn't cleanly fit any above; needs a free-text description.,"Use_Case_Details: 'customers build visual, no-code workflow automations triggered by community events. Each... runs as a Temporal workflow' (notify rep / alert mgr / CRM update). Doc: 'Alerts and workflow feature.'",2,96000,,

006UY00000ZKnRqYAL,Oneleet,Oneleet - Compliance Workflow Orchestration,Nader Afrakhan,Other,Other,Low,TRUE,"Workload = compliance/GRC workflow orchestration (recurring SOC 2/ISO 27001 evidence collection, reminders, completion tracking). Web confirms Oneleet is a compliance-automation platform. Doesn't fit any of the 15 verticals; not infra CI/CD, ETL, or customer KYC. Entire signal is AE-inferred (not customer-stated); no Gong calls exist.",,Doesn't cleanly fit any above; needs a free-text description.,"Use_Case_Details (AE-inferred): 'Compliance workflow orchestration — automating steps for SOC 2 / ISO 27001 certification ... recurring evidence collection, reminders, tracking.' Web: Oneleet = compliance-automation platform. No Gong calls.",3,94704,,

006UY00000A9ZlZYAV,Ford Motor Company,Ford - Vehicle Onboarding,Micah Manzano,Lifecycle Management,Infrastructure Automation & CI/CD,High,FALSE,"Doc: engaged org is ""Vehicle Onboarding CI/CD""; orchestrates provisioning/standing-up of in-car software services per...",,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?","Doc ""Ford - Vehicle Onboarding"": org ""Vehicle Onboarding CI/CD""; ""onboarding ...",2,93576,,

006UY00000DRAAJYA5,Sinch,Sinch - Agentic AI SMS processing,Stuart Herd,AI/ML Orchestration,AI - Agents,High,FALSE,"Autonomously answers inbound FAQ/sales SMS in the human-agent inbox (""answer an increasing proportion autonomously"");...",,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","details ""answer an increasing proportion of questions autonomously""; name ""Ag...",1,92484,,

0065f00000ITnRBAA1,Motion,Motion - Update Function,Mirat Tayyeb,Business processes,Other,High,FALSE,"Gong-confirmed: ""Update Function"" = per-user calendar-optimization/scheduling workflow (+ calendar event sync...",,Doesn't cleanly fit any above; needs a free-text description.,"Gong call 7264801626406725495: ""calendar event sync workflow and an update fu...",3,90468,,AI day-planner; Gong pins 'update function workflow' = per-user calendar-optimization/scheduli…

006UY00000bBdDfYAK,Artisan,Artisan - AI Sales Outreach,Zac Bischoff,Other,Communications & Marketing Platform,High,FALSE,"Opp's own details: rebuilding their scheduling engine to orchestrate outbound sales outreach — dynamic multi-step sequence scheduling with day intervals, mailbox capacity checks, assigning outreach across multiple senders/mailboxes. Primary outcome = orchestrating outbound comms/campaigns with routing and timing. AI lead enrichment is a step within, not the outcome.",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","Use_Case_Details: 'dynamic multi-step outreach sequence scheduling with day intervals, mailbox capacity checks, and assigning outreach across multiple senders and mailboxes'; AI qualification/enrichment feeds sequence steps.",1,90096,,

0065f00000KSJGZAA5,Array,"Array – Expansion, Webhooks",John Meehan,Business processes,Data Pipelines & ETL,High,FALSE,Webhooks/event-delivery workload — reliable webhook event delivery between systems. (Linked doc not found; both opp f...,,"Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?","details ""Webhooks prod namespace is live""; name ""Array – Expansion, Webhooks""",1,90000,,

006UY000008DHknYAG,Cloudinary,Cloudinary - Media Infra Orchestration,Jesse Malik,Business processes,Other,High,FALSE,Doc + opp: Temporal orchestrating media processing (transcoding/resizing images & videos into variants); no AI infere...,,Doesn't cleanly fit any above; needs a free-text description.,"Doc ""Cloudinary Notes"": ""orchestrate long-running, asynchronous media process...",2,90000,,

006UY000008lyiUYAQ,Sinch,Sinch - Chatlayer Bot,Stuart Herd,Business processes,AI - Processing Pipelines,High,FALSE,"Doc: each user message triggers a Temporal ""conversation workflow"" running the message through NLP→intent→response; a...",,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Doc ""Sinch ChatLayer Use Case Discovery"": ""Each message triggers a workflow"";...",2,86784,,Sinch=cust-engagement/CPaaS; ChatLayer chatbot. Doc: each msg triggers a conversation workflow…

006UY000001Cr85YAC,Stripe,Stripe - Java Migration,Conrad Vogel,Unknown,Other,Low,TRUE,Explicitly an OSS-to-Cloud migration of Temporal's own Java namespaces; no single product workflow named. Migration o...,,Doesn't cleanly fit any above; needs a free-text description.,"details ""Migrating the remaining smaller Java namespaces to Temporal Cloud""",1,84000,,Explicit OSS->Cloud migration of Temporal Java namespaces; no product workflow named. Migratio…

0065f00000IUwGMAA1,Rippling,Rippling - Filing Factory 3/23,Tom Kadlick,Business processes,Financial Services & Lending,High,FALSE,"Doc: payroll tax computation, tax payment scheduling, and filings — a regulated financial product workflow be...",,Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,"Doc (Filing Factory): ""payroll tax computation, tax payment scheduling, payro...",2,82800,,"Re-fetched doc: opp-specific payroll tax computation, tax payment scheduling, filings data syn…"

006UY00000Ce9FNYAZ,AppDirect,AppDirect - Workload - Commissions,Alex Bonakdar,Business processes,Payment Processing & Settlement,High,FALSE,Doc: recurring advisor commission payouts flowing through a multi-step approval process — money moving to advisors (p...,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","Doc ""AppDirect Meeting Notes"": ""Recurring advisor commission payments... dire...",2,82008,,

006UY000002G7m0YAC,Snap,Snap - Snaptasks Scheduled Task Execution,Conrad Vogel,Business processes,Control Plane Operations,Medium,TRUE,"Doc: cron-based scheduled-task execution ""offered as a generic platform for internal consumption"" / ""foundational dat...",,Are they building/operating a platform control plane that provisions/manages other systems/tenants via APIs and policy?,"Doc ""Snap - 2024 Renewal Positioning"": ""Snaptasks (cron based)... Offered as ...",2,81981.96,,Renewal doc: Snaptasks=cron scheduled-task exec 'offered as generic platform for internal cons…

